,date,threshold,density,frustration_score,bicoloring,computation_time
0,2008-06-30,0.1,0.9005847953216374,0.0,"{'BND': 0, 'DBB': 0, 'DBE': 0, 'GLD': 0, 'ICF': 1, 'MUB': 0, 'RWR': 1, 'SHY': 0, 'SLV': 0, 'TIP': 0, 'TLT': 0, 'UNG': 0, 'USO': 0, 'USRT': 1, 'VB': 1, 'VEU': 1, 'VO': 1, 'VTI': 1, 'VWO': 1}",0.008072
1,2008-11-30,0.1,0.8888888888888888,0.0,"{'BND': 0, 'DBB': 1, 'DBE': 1, 'GLD': 1, 'ICF': 1, 'MUB': 1, 'RWR': 1, 'SHY': 0, 'SLV': 1, 'TIP': 0, 'TLT': 0, 'UNG': 1, 'USO': 1, 'USRT': 1, 'VB': 1, 'VEU': 1, 'VO': 1, 'VTI': 1, 'VWO': 1}",0.008029
2,2009-04-30,0.1,0.8771929824561403,0.0,"{'BND': 1, 'DBB': 0, 'DBE': 0, 'GLD': 1, 'ICF': 0, 'MUB': 0, 'RWR': 0, 'SHY': 1, 'SLV': 1, 'TIP': 1, 'TLT': 1, 'UNG': 0, 'USO': 0, 'USRT': 0, 'VB': 0, 'VEU': 0, 'VO': 0, 'VTI': 0, 'VWO': 0}",0.008129
3,2009-09-30,0.1,0.8830409356725146,0.0,"{'BND': 0, 'DBB': 1, 'DBE': 1, 'GLD': 1, 'ICF': 1, 'MUB': 1, 'RWR': 1, 'SHY': 0, 'SLV': 1, 'TIP': 1, 'TLT': 0, 'UNG': 1, 'USO': 1, 'USRT': 1, 'VB': 1, 'VEU': 1, 'VO': 1, 'VTI': 1, 'VWO': 1}",0.007999
4,2010-02-28,0.1,0.935672514619883,0.0,"{'BND': 0, 'DBB': 1, 'DBE': 1, 'GLD': 1, 'ICF': 1, 'MUB': 0, 'RWR': 1, 'SHY': 0, 'SLV': 1, 'TIP': 0, 'TLT': 0, 'UNG': 1, 'USO': 1, 'USRT': 1, 'VB': 1, 'VEU': 1, 'VO': 1, 'VTI': 1, 'VWO': 1}",0.008089
5,2010-07-31,0.1,0.8362573099415205,0.0,"{'BND': 0, 'DBB': 1, 'DBE': 1, 'GLD': 1, 'ICF': 1, 'MUB': 0, 'RWR': 1, 'SHY': 0, 'SLV': 1, 'TIP': 0, 'TLT': 0, 'UNG': 1, 'USO': 1, 'USRT': 1, 'VB': 1, 'VEU': 1, 'VO': 1, 'VTI': 1, 'VWO': 1}",0.008007
6,2010-12-31,0.1,0.7485380116959064,0.0,"{'BND': 1, 'DBB': 1, 'DBE': 1, 'GLD': 1, 'ICF': 1, 'MUB': 1, 'RWR': 1, 'SHY': 1, 'SLV': 1, 'TIP': 1, 'TLT': 1, 'UNG': 1, 'USO': 1, 'USRT': 1, 'VB': 0, 'VEU': 1, 'VO': 0, 'VTI': 0, 'VWO': 1}",0.007927
7,2011-05-31,0.1,0.9005847953216374,0.0,"{'BND': 1, 'DBB': 0, 'DBE': 0, 'GLD': 0, 'ICF': 0, 'MUB': 1, 'RWR': 0, 'SHY': 1, 'SLV': 0, 'TIP': 0, 'TLT': 1, 'UNG': 0, 'USO': 0, 'USRT': 0, 'VB': 0, 'VEU': 0, 'VO': 0, 'VTI': 0, 'VWO': 0}",0.008044
8,2011-10-31,0.1,0.8830409356725146,0.0,"{'BND': 1, 'DBB': 0, 'DBE': 0, 'GLD': 0, 'ICF': 0, 'MUB': 1, 'RWR': 0, 'SHY': 1, 'SLV': 0, 'TIP': 1, 'TLT': 1, 'UNG': 0, 'USO': 0, 'USRT': 0, 'VB': 0, 'VEU': 0, 'VO': 0, 'VTI': 0, 'VWO': 0}",0.008044
9,2012-03-31,0.1,0.8362573099415205,0.0,"{'BND': 1, 'DBB': 0, 'DBE': 0, 'GLD': 0, 'ICF': 0, 'MUB': 1, 'RWR': 0, 'SHY': 1, 'SLV': 0, 'TIP': 1, 'TLT': 1, 'UNG': 0, 'USO': 0, 'USRT': 0, 'VB': 0, 'VEU': 0, 'VO': 0, 'VTI': 0, 'VWO': 0}",0.007982
