,date,threshold,density,coloring,num_colors,valid_coloring
0,2016-10-31,0.6,0.16363636363636364,"{'IYT': 0, 'RWR': 1, 'XLB': 2, 'XLE': 1, 'XLF': 0, 'XLI': 1, 'XLK': 0, 'XLP': 1, 'XLU': 0, 'XLV': 1, 'XLY': 1}",3,True
1,2016-10-31,0.7,0.05454545454545454,"{'IYT': 0, 'RWR': 0, 'XLB': 0, 'XLE': 1, 'XLF': 0, 'XLI': 1, 'XLK': 0, 'XLP': 1, 'XLU': 1, 'XLV': 0, 'XLY': 1}",2,True
2,2011-05-31,0.7999999999999999,0.09090909090909091,"{'IYT': 0, 'RWR': 1, 'XLB': 0, 'XLE': 1, 'XLF': 0, 'XLI': 1, 'XLK': 0, 'XLP': 1, 'XLU': 0, 'XLV': 1, 'XLY': 1}",2,True
3,2013-11-30,0.7999999999999999,0.10909090909090909,"{'IYT': 1, 'RWR': 2, 'XLB': 2, 'XLE': 1, 'XLF': 0, 'XLI': 0, 'XLK': 1, 'XLP': 2, 'XLU': 0, 'XLV': 0, 'XLY': 1}",3,False
4,2015-02-28,0.7999999999999999,0.03636363636363636,"{'IYT': 1, 'RWR': 1, 'XLB': 1, 'XLE': 1, 'XLF': 1, 'XLI': 0, 'XLK': 1, 'XLP': 1, 'XLU': 0, 'XLV': 1, 'XLY': 0}",2,True
5,2016-05-31,0.7999999999999999,0.09090909090909091,"{'IYT': 0, 'RWR': 0, 'XLB': 1, 'XLE': 0, 'XLF': 0, 'XLI': 1, 'XLK': 0, 'XLP': 1, 'XLU': 1, 'XLV': 1, 'XLY': 1}",2,True
6,2016-10-31,0.7999999999999999,0.0,"{'IYT': 0, 'RWR': 0, 'XLB': 0, 'XLE': 0, 'XLF': 0, 'XLI': 0, 'XLK': 0, 'XLP': 0, 'XLU': 0, 'XLV': 0, 'XLY': 0}",1,True
7,2017-08-31,0.7999999999999999,0.14545454545454545,"{'IYT': 2, 'RWR': 1, 'XLB': 2, 'XLE': 2, 'XLF': 0, 'XLI': 0, 'XLK': 1, 'XLP': 2, 'XLU': 1, 'XLV': 0, 'XLY': 2}",3,True
8,2008-06-30,0.8999999999999999,0.0,"{'IYT': 0, 'RWR': 0, 'XLB': 0, 'XLE': 0, 'XLF': 0, 'XLI': 0, 'XLK': 0, 'XLP': 0, 'XLU': 0, 'XLV': 0, 'XLY': 0}",1,True
9,2009-04-30,0.8999999999999999,0.07272727272727272,"{'IYT': 0, 'RWR': 0, 'XLB': 2, 'XLE': 1, 'XLF': 2, 'XLI': 2, 'XLK': 2, 'XLP': 2, 'XLU': 0, 'XLV': 0, 'XLY': 1}",3,True
