Date,High,Low,Open,Close,Volume,Adj Close,Name
2014-10-29,60.0,59.06999969482422,59.77000045776367,59.7599983215332,706900.0,50.23875045776367,PNW
2014-10-30,60.54999923706055,59.27000045776367,59.33000183105469,60.52000045776367,818800.0,51.389320373535156,PNW
2014-10-31,61.560001373291016,59.88999938964844,61.0,61.470001220703125,1335600.0,52.19600296020508,PNW
2014-11-03,62.27000045776367,61.369998931884766,61.75,62.25,1066600.0,52.85831832885742,PNW
2014-11-04,62.720001220703125,61.529998779296875,62.09000015258789,61.65999984741211,940300.0,52.357337951660156,PNW
2014-11-05,62.95000076293945,61.77000045776367,62.06999969482422,62.88999938964844,1060100.0,53.401763916015625,PNW
2014-11-06,62.84000015258789,61.22999954223633,62.790000915527344,61.790000915527344,1305300.0,52.46772003173828,PNW
2014-11-07,62.52000045776367,61.63999938964844,61.91999816894531,62.5,648100.0,53.070594787597656,PNW
2014-11-10,62.86000061035156,62.11000061035156,62.5,62.810001373291016,517900.0,53.333839416503906,PNW
2014-11-11,63.130001068115234,62.4900016784668,62.83000183105469,62.81999969482422,590300.0,53.342323303222656,PNW
2014-11-12,62.41999816894531,61.25,62.41999816894531,61.79999923706055,1096900.0,52.47621536254883,PNW
2014-11-13,62.099998474121094,61.09000015258789,62.0,61.22999954223633,620000.0,51.99220657348633,PNW
2014-11-14,61.150001525878906,60.65999984741211,60.970001220703125,60.790000915527344,519100.0,51.618595123291016,PNW
2014-11-17,61.849998474121094,60.61000061035156,60.61000061035156,61.81999969482422,587200.0,52.49319076538086,PNW
2014-11-18,62.560001373291016,61.58000183105469,61.970001220703125,62.2400016784668,663200.0,52.849830627441406,PNW
2014-11-19,62.349998474121094,61.61000061035156,61.95000076293945,62.08000183105469,432600.0,52.71397399902344,PNW
2014-11-20,62.439998626708984,61.529998779296875,61.90999984741211,61.95000076293945,423100.0,52.60358428955078,PNW
2014-11-21,62.86000061035156,62.029998779296875,62.45000076293945,62.70000076293945,1175300.0,53.24043273925781,PNW
2014-11-24,62.75,61.86000061035156,62.650001525878906,62.02000045776367,881500.0,52.66302490234375,PNW
2014-11-25,62.31999969482422,61.54999923706055,62.04999923706055,62.150001525878906,840900.0,52.773406982421875,PNW
2014-11-26,62.619998931884766,62.029998779296875,62.25,62.369998931884766,453500.0,52.960208892822266,PNW
2014-11-28,63.5,62.560001373291016,62.59000015258789,63.22999954223633,423500.0,53.69047164916992,PNW
2014-12-01,64.11000061035156,62.599998474121094,62.849998474121094,63.599998474121094,967500.0,54.0046501159668,PNW
2014-12-02,64.91999816894531,63.290000915527344,63.75,64.83999633789062,1442000.0,55.05757141113281,PNW
2014-12-03,66.68000030517578,64.54000091552734,64.93000030517578,65.33000183105469,3864800.0,55.4736442565918,PNW
2014-12-04,66.2300033569336,65.16000366210938,65.33000183105469,65.86000061035156,1562800.0,55.92367172241211,PNW
2014-12-05,66.02999877929688,65.1500015258789,65.45999908447266,65.9000015258789,1694300.0,55.95764923095703,PNW
2014-12-08,67.0999984741211,65.69000244140625,66.08000183105469,66.22000122070312,1407700.0,56.229366302490234,PNW
2014-12-09,66.54000091552734,65.43000030517578,65.9800033569336,65.98999786376953,1607800.0,56.03406524658203,PNW
2014-12-10,66.55000305175781,65.0199966430664,65.77999877929688,65.2699966430664,1283400.0,55.422691345214844,PNW
2014-12-11,66.30999755859375,65.33999633789062,65.33999633789062,65.87000274658203,832400.0,55.93217468261719,PNW
2014-12-12,66.37000274658203,65.25,65.69999694824219,65.5,743400.0,55.61799621582031,PNW
2014-12-15,66.01000213623047,64.26000213623047,65.55000305175781,64.54000091552734,915900.0,54.80282211303711,PNW
